// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/carlos/Projects/code-maze/CodeMazeSourceCode/GrpcVsRest/bin/Release/netcoreapp3.1/07120259-2682-49c1-a46c-4388d1094bda
// command took 1.66s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/carlos/Projects/code-maze/CodeMazeSourceCode/GrpcVsRest/bin/Release/netcoreapp3.1/07120259-2682-49c1-a46c-4388d1094bda
// command took 4.41s and exited with 0
// ***** Done, took 00:00:06 (6.19 sec)   *****
// Found 4 benchmarks:
//   BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=100]
//   BenchmarkHarness.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=100]
//   BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=200]
//   BenchmarkHarness.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=200]

// **************************
// Benchmark: BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "07120259-2682-49c1-a46c-4388d1094bda.dll" --benchmarkName "GrpcVsRest.BenchmarkHarness.RestGetSmallPayloadAsync(IterationCount: 100)" --job "Default" --benchmarkId 0 in /home/carlos/Projects/code-maze/CodeMazeSourceCode/GrpcVsRest/bin/Release/netcoreapp3.1/07120259-2682-49c1-a46c-4388d1094bda/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadResult   9: 1 op, 344155031.00 ns, 344.1550 ms/op
WorkloadResult  10: 1 op, 317552567.00 ns, 317.5526 ms/op
WorkloadResult  11: 1 op, 319443155.00 ns, 319.4432 ms/op
WorkloadResult  12: 1 op, 343876436.00 ns, 343.8764 ms/op
WorkloadResult  13: 1 op, 340130723.00 ns, 340.1307 ms/op
WorkloadResult  14: 1 op, 346865363.00 ns, 346.8654 ms/op
WorkloadResult  15: 1 op, 338034327.00 ns, 338.0343 ms/op
WorkloadResult  16: 1 op, 329584236.00 ns, 329.5842 ms/op
WorkloadResult  17: 1 op, 343549344.00 ns, 343.5493 ms/op
WorkloadResult  18: 1 op, 350984553.00 ns, 350.9846 ms/op
WorkloadResult  19: 1 op, 350567136.00 ns, 350.5671 ms/op
WorkloadResult  20: 1 op, 366424506.00 ns, 366.4245 ms/op
WorkloadResult  21: 1 op, 352323617.00 ns, 352.3236 ms/op
WorkloadResult  22: 1 op, 352334262.00 ns, 352.3343 ms/op
WorkloadResult  23: 1 op, 352930043.00 ns, 352.9300 ms/op
WorkloadResult  24: 1 op, 322777162.00 ns, 322.7772 ms/op
WorkloadResult  25: 1 op, 355472267.00 ns, 355.4723 ms/op
WorkloadResult  26: 1 op, 334751004.00 ns, 334.7510 ms/op
WorkloadResult  27: 1 op, 333122517.00 ns, 333.1225 ms/op
WorkloadResult  28: 1 op, 328116526.00 ns, 328.1165 ms/op
WorkloadResult  29: 1 op, 329632205.00 ns, 329.6322 ms/op
WorkloadResult  30: 1 op, 348736484.00 ns, 348.7365 ms/op
WorkloadResult  31: 1 op, 335121457.00 ns, 335.1215 ms/op
WorkloadResult  32: 1 op, 319357397.00 ns, 319.3574 ms/op
WorkloadResult  33: 1 op, 358250202.00 ns, 358.2502 ms/op
WorkloadResult  34: 1 op, 372158793.00 ns, 372.1588 ms/op
WorkloadResult  35: 1 op, 351712106.00 ns, 351.7121 ms/op
WorkloadResult  36: 1 op, 355997031.00 ns, 355.9970 ms/op
WorkloadResult  37: 1 op, 323520577.00 ns, 323.5206 ms/op
WorkloadResult  38: 1 op, 357212469.00 ns, 357.2125 ms/op
WorkloadResult  39: 1 op, 321162599.00 ns, 321.1626 ms/op
WorkloadResult  40: 1 op, 307043460.00 ns, 307.0435 ms/op
WorkloadResult  41: 1 op, 370582173.00 ns, 370.5822 ms/op
WorkloadResult  42: 1 op, 351275417.00 ns, 351.2754 ms/op
WorkloadResult  43: 1 op, 345354721.00 ns, 345.3547 ms/op
WorkloadResult  44: 1 op, 319044495.00 ns, 319.0445 ms/op
WorkloadResult  45: 1 op, 344300506.00 ns, 344.3005 ms/op
WorkloadResult  46: 1 op, 329145889.00 ns, 329.1459 ms/op
WorkloadResult  47: 1 op, 308452628.00 ns, 308.4526 ms/op
WorkloadResult  48: 1 op, 332607915.00 ns, 332.6079 ms/op
WorkloadResult  49: 1 op, 357598239.00 ns, 357.5982 ms/op
WorkloadResult  50: 1 op, 328504992.00 ns, 328.5050 ms/op
WorkloadResult  51: 1 op, 351802536.00 ns, 351.8025 ms/op
WorkloadResult  52: 1 op, 347533471.00 ns, 347.5335 ms/op
WorkloadResult  53: 1 op, 338130901.00 ns, 338.1309 ms/op
WorkloadResult  54: 1 op, 334900192.00 ns, 334.9002 ms/op
WorkloadResult  55: 1 op, 350241867.00 ns, 350.2419 ms/op
WorkloadResult  56: 1 op, 347934665.00 ns, 347.9347 ms/op

// AfterAll
// Benchmark Process 37785 has exited with code 0

Mean = 340.405 ms, StdErr = 1.948 ms (0.57%), N = 56, StdDev = 14.575 ms
Min = 307.043 ms, Q1 = 329.620 ms, Median = 343.572 ms, Q3 = 351.057 ms, Max = 372.159 ms
IQR = 21.437 ms, LowerFence = 297.465 ms, UpperFence = 383.213 ms
ConfidenceInterval = [333.634 ms; 347.176 ms] (CI 99.9%), Margin = 6.771 ms (1.99% of Mean)
Skewness = -0.16, Kurtosis = 2.58, MValue = 2

// **************************
// Benchmark: BenchmarkHarness.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "07120259-2682-49c1-a46c-4388d1094bda.dll" --benchmarkName "GrpcVsRest.BenchmarkHarness.GrpcGetSmallPayloadAsync(IterationCount: 100)" --job "Default" --benchmarkId 1 in /home/carlos/Projects/code-maze/CodeMazeSourceCode/GrpcVsRest/bin/Release/netcoreapp3.1/07120259-2682-49c1-a46c-4388d1094bda/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 236377.00 ns, 236.3770 us/op
WorkloadJitting  1: 1 op, 367924851.00 ns, 367.9249 ms/op

WorkloadWarmup   1: 1 op, 202068631.00 ns, 202.0686 ms/op
WorkloadWarmup   2: 1 op, 197529292.00 ns, 197.5293 ms/op
WorkloadWarmup   3: 1 op, 181157291.00 ns, 181.1573 ms/op
WorkloadWarmup   4: 1 op, 172268309.00 ns, 172.2683 ms/op
WorkloadWarmup   5: 1 op, 181758082.00 ns, 181.7581 ms/op
WorkloadWarmup   6: 1 op, 190125776.00 ns, 190.1258 ms/op
WorkloadWarmup   7: 1 op, 183525725.00 ns, 183.5257 ms/op
WorkloadWarmup   8: 1 op, 187093101.00 ns, 187.0931 ms/op
WorkloadWarmup   9: 1 op, 167513456.00 ns, 167.5135 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 181658978.00 ns, 181.6590 ms/op
WorkloadActual   2: 1 op, 184516396.00 ns, 184.5164 ms/op
WorkloadActual   3: 1 op, 177968898.00 ns, 177.9689 ms/op
WorkloadActual   4: 1 op, 181212760.00 ns, 181.2128 ms/op
WorkloadActual   5: 1 op, 186770469.00 ns, 186.7705 ms/op
WorkloadActual   6: 1 op, 187548955.00 ns, 187.5490 ms/op
WorkloadActual   7: 1 op, 184064868.00 ns, 184.0649 ms/op
WorkloadActual   8: 1 op, 183568563.00 ns, 183.5686 ms/op
WorkloadActual   9: 1 op, 173984586.00 ns, 173.9846 ms/op
WorkloadActual  10: 1 op, 187178464.00 ns, 187.1785 ms/op
WorkloadActual  11: 1 op, 182587567.00 ns, 182.5876 ms/op
WorkloadActual  12: 1 op, 179750863.00 ns, 179.7509 ms/op
WorkloadActual  13: 1 op, 175289287.00 ns, 175.2893 ms/op
WorkloadActual  14: 1 op, 188228037.00 ns, 188.2280 ms/op
WorkloadActual  15: 1 op, 171454165.00 ns, 171.4542 ms/op
WorkloadActual  16: 1 op, 185492878.00 ns, 185.4929 ms/op
WorkloadActual  17: 1 op, 175822992.00 ns, 175.8230 ms/op
WorkloadActual  18: 1 op, 185526020.00 ns, 185.5260 ms/op
WorkloadActual  19: 1 op, 180288615.00 ns, 180.2886 ms/op
WorkloadActual  20: 1 op, 182860391.00 ns, 182.8604 ms/op
WorkloadActual  21: 1 op, 184581146.00 ns, 184.5811 ms/op
WorkloadActual  22: 1 op, 187821691.00 ns, 187.8217 ms/op
WorkloadActual  23: 1 op, 180722106.00 ns, 180.7221 ms/op
WorkloadActual  24: 1 op, 184932830.00 ns, 184.9328 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 181658978.00 ns, 181.6590 ms/op
WorkloadResult   2: 1 op, 184516396.00 ns, 184.5164 ms/op
WorkloadResult   3: 1 op, 177968898.00 ns, 177.9689 ms/op
WorkloadResult   4: 1 op, 181212760.00 ns, 181.2128 ms/op
WorkloadResult   5: 1 op, 186770469.00 ns, 186.7705 ms/op
WorkloadResult   6: 1 op, 187548955.00 ns, 187.5490 ms/op
WorkloadResult   7: 1 op, 184064868.00 ns, 184.0649 ms/op
WorkloadResult   8: 1 op, 183568563.00 ns, 183.5686 ms/op
WorkloadResult   9: 1 op, 173984586.00 ns, 173.9846 ms/op
WorkloadResult  10: 1 op, 187178464.00 ns, 187.1785 ms/op
WorkloadResult  11: 1 op, 182587567.00 ns, 182.5876 ms/op
WorkloadResult  12: 1 op, 179750863.00 ns, 179.7509 ms/op
WorkloadResult  13: 1 op, 175289287.00 ns, 175.2893 ms/op
WorkloadResult  14: 1 op, 188228037.00 ns, 188.2280 ms/op
WorkloadResult  15: 1 op, 171454165.00 ns, 171.4542 ms/op
WorkloadResult  16: 1 op, 185492878.00 ns, 185.4929 ms/op
WorkloadResult  17: 1 op, 175822992.00 ns, 175.8230 ms/op
WorkloadResult  18: 1 op, 185526020.00 ns, 185.5260 ms/op
WorkloadResult  19: 1 op, 180288615.00 ns, 180.2886 ms/op
WorkloadResult  20: 1 op, 182860391.00 ns, 182.8604 ms/op
WorkloadResult  21: 1 op, 184581146.00 ns, 184.5811 ms/op
WorkloadResult  22: 1 op, 187821691.00 ns, 187.8217 ms/op
WorkloadResult  23: 1 op, 180722106.00 ns, 180.7221 ms/op
WorkloadResult  24: 1 op, 184932830.00 ns, 184.9328 ms/op

// AfterAll
// Benchmark Process 37914 has exited with code 0

Mean = 182.243 ms, StdErr = 0.943 ms (0.52%), N = 24, StdDev = 4.620 ms
Min = 171.454 ms, Q1 = 180.154 ms, Median = 183.214 ms, Q3 = 185.501 ms, Max = 188.228 ms
IQR = 5.347 ms, LowerFence = 172.134 ms, UpperFence = 193.522 ms
ConfidenceInterval = [178.690 ms; 185.796 ms] (CI 99.9%), Margin = 3.553 ms (1.95% of Mean)
Skewness = -0.7, Kurtosis = 2.47, MValue = 2

// **************************
// Benchmark: BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=200]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "07120259-2682-49c1-a46c-4388d1094bda.dll" --benchmarkName "GrpcVsRest.BenchmarkHarness.RestGetSmallPayloadAsync(IterationCount: 200)" --job "Default" --benchmarkId 2 in /home/carlos/Projects/code-maze/CodeMazeSourceCode/GrpcVsRest/bin/Release/netcoreapp3.1/07120259-2682-49c1-a46c-4388d1094bda/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 233829.00 ns, 233.8290 us/op
WorkloadJitting  1: 1 op, 957769735.00 ns, 957.7697 ms/op

WorkloadWarmup   1: 1 op, 716299504.00 ns, 716.2995 ms/op
WorkloadWarmup   2: 1 op, 707140987.00 ns, 707.1410 ms/op
WorkloadWarmup   3: 1 op, 721698064.00 ns, 721.6981 ms/op
WorkloadWarmup   4: 1 op, 686377372.00 ns, 686.3774 ms/op
WorkloadWarmup   5: 1 op, 677234672.00 ns, 677.2347 ms/op
WorkloadWarmup   6: 1 op, 666087623.00 ns, 666.0876 ms/op
WorkloadWarmup   7: 1 op, 687819191.00 ns, 687.8192 ms/op
WorkloadWarmup   8: 1 op, 671543978.00 ns, 671.5440 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 679104935.00 ns, 679.1049 ms/op
WorkloadActual   2: 1 op, 661474822.00 ns, 661.4748 ms/op
WorkloadActual   3: 1 op, 684635342.00 ns, 684.6353 ms/op
WorkloadActual   4: 1 op, 688283273.00 ns, 688.2833 ms/op
WorkloadActual   5: 1 op, 648144453.00 ns, 648.1445 ms/op
WorkloadActual   6: 1 op, 670606755.00 ns, 670.6068 ms/op
WorkloadActual   7: 1 op, 669975884.00 ns, 669.9759 ms/op
WorkloadActual   8: 1 op, 680825658.00 ns, 680.8257 ms/op
WorkloadActual   9: 1 op, 623730193.00 ns, 623.7302 ms/op
WorkloadActual  10: 1 op, 673290348.00 ns, 673.2903 ms/op
WorkloadActual  11: 1 op, 629394588.00 ns, 629.3946 ms/op
WorkloadActual  12: 1 op, 656463827.00 ns, 656.4638 ms/op
WorkloadActual  13: 1 op, 676836168.00 ns, 676.8362 ms/op
WorkloadActual  14: 1 op, 666543137.00 ns, 666.5431 ms/op
WorkloadActual  15: 1 op, 650799359.00 ns, 650.7994 ms/op
WorkloadActual  16: 1 op, 685665870.00 ns, 685.6659 ms/op
WorkloadActual  17: 1 op, 720069537.00 ns, 720.0695 ms/op
WorkloadActual  18: 1 op, 653309845.00 ns, 653.3098 ms/op
WorkloadActual  19: 1 op, 700952587.00 ns, 700.9526 ms/op
WorkloadActual  20: 1 op, 716435635.00 ns, 716.4356 ms/op
WorkloadActual  21: 1 op, 632914565.00 ns, 632.9146 ms/op
WorkloadActual  22: 1 op, 696409034.00 ns, 696.4090 ms/op
WorkloadActual  23: 1 op, 708171067.00 ns, 708.1711 ms/op
WorkloadActual  24: 1 op, 669317679.00 ns, 669.3177 ms/op
WorkloadActual  25: 1 op, 661583256.00 ns, 661.5833 ms/op
WorkloadActual  26: 1 op, 688404605.00 ns, 688.4046 ms/op
WorkloadActual  27: 1 op, 641686104.00 ns, 641.6861 ms/op
WorkloadActual  28: 1 op, 677113278.00 ns, 677.1133 ms/op
WorkloadActual  29: 1 op, 679300689.00 ns, 679.3007 ms/op
WorkloadActual  30: 1 op, 669123249.00 ns, 669.1232 ms/op
WorkloadActual  31: 1 op, 671785959.00 ns, 671.7860 ms/op
WorkloadActual  32: 1 op, 692675858.00 ns, 692.6759 ms/op
WorkloadActual  33: 1 op, 682775241.00 ns, 682.7752 ms/op
WorkloadActual  34: 1 op, 689057245.00 ns, 689.0572 ms/op
WorkloadActual  35: 1 op, 690532200.00 ns, 690.5322 ms/op
WorkloadActual  36: 1 op, 668442693.00 ns, 668.4427 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 679104935.00 ns, 679.1049 ms/op
WorkloadResult   2: 1 op, 661474822.00 ns, 661.4748 ms/op
WorkloadResult   3: 1 op, 684635342.00 ns, 684.6353 ms/op
WorkloadResult   4: 1 op, 688283273.00 ns, 688.2833 ms/op
WorkloadResult   5: 1 op, 648144453.00 ns, 648.1445 ms/op
WorkloadResult   6: 1 op, 670606755.00 ns, 670.6068 ms/op
WorkloadResult   7: 1 op, 669975884.00 ns, 669.9759 ms/op
WorkloadResult   8: 1 op, 680825658.00 ns, 680.8257 ms/op
WorkloadResult   9: 1 op, 623730193.00 ns, 623.7302 ms/op
WorkloadResult  10: 1 op, 673290348.00 ns, 673.2903 ms/op
WorkloadResult  11: 1 op, 629394588.00 ns, 629.3946 ms/op
WorkloadResult  12: 1 op, 656463827.00 ns, 656.4638 ms/op
WorkloadResult  13: 1 op, 676836168.00 ns, 676.8362 ms/op
WorkloadResult  14: 1 op, 666543137.00 ns, 666.5431 ms/op
WorkloadResult  15: 1 op, 650799359.00 ns, 650.7994 ms/op
WorkloadResult  16: 1 op, 685665870.00 ns, 685.6659 ms/op
WorkloadResult  17: 1 op, 720069537.00 ns, 720.0695 ms/op
WorkloadResult  18: 1 op, 653309845.00 ns, 653.3098 ms/op
WorkloadResult  19: 1 op, 700952587.00 ns, 700.9526 ms/op
WorkloadResult  20: 1 op, 716435635.00 ns, 716.4356 ms/op
WorkloadResult  21: 1 op, 632914565.00 ns, 632.9146 ms/op
WorkloadResult  22: 1 op, 696409034.00 ns, 696.4090 ms/op
WorkloadResult  23: 1 op, 708171067.00 ns, 708.1711 ms/op
WorkloadResult  24: 1 op, 669317679.00 ns, 669.3177 ms/op
WorkloadResult  25: 1 op, 661583256.00 ns, 661.5833 ms/op
WorkloadResult  26: 1 op, 688404605.00 ns, 688.4046 ms/op
WorkloadResult  27: 1 op, 641686104.00 ns, 641.6861 ms/op
WorkloadResult  28: 1 op, 677113278.00 ns, 677.1133 ms/op
WorkloadResult  29: 1 op, 679300689.00 ns, 679.3007 ms/op
WorkloadResult  30: 1 op, 669123249.00 ns, 669.1232 ms/op
WorkloadResult  31: 1 op, 671785959.00 ns, 671.7860 ms/op
WorkloadResult  32: 1 op, 692675858.00 ns, 692.6759 ms/op
WorkloadResult  33: 1 op, 682775241.00 ns, 682.7752 ms/op
WorkloadResult  34: 1 op, 689057245.00 ns, 689.0572 ms/op
WorkloadResult  35: 1 op, 690532200.00 ns, 690.5322 ms/op
WorkloadResult  36: 1 op, 668442693.00 ns, 668.4427 ms/op

// AfterAll
// Benchmark Process 37965 has exited with code 0

Mean = 673.773 ms, StdErr = 3.747 ms (0.56%), N = 36, StdDev = 22.482 ms
Min = 623.730 ms, Q1 = 661.556 ms, Median = 675.063 ms, Q3 = 688.314 ms, Max = 720.070 ms
IQR = 26.757 ms, LowerFence = 621.420 ms, UpperFence = 728.450 ms
ConfidenceInterval = [660.317 ms; 687.229 ms] (CI 99.9%), Margin = 13.456 ms (2.00% of Mean)
Skewness = -0.21, Kurtosis = 2.78, MValue = 2

// **************************
// Benchmark: BenchmarkHarness.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=200]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "07120259-2682-49c1-a46c-4388d1094bda.dll" --benchmarkName "GrpcVsRest.BenchmarkHarness.GrpcGetSmallPayloadAsync(IterationCount: 200)" --job "Default" --benchmarkId 3 in /home/carlos/Projects/code-maze/CodeMazeSourceCode/GrpcVsRest/bin/Release/netcoreapp3.1/07120259-2682-49c1-a46c-4388d1094bda/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 233048.00 ns, 233.0480 us/op
WorkloadJitting  1: 1 op, 580314880.00 ns, 580.3149 ms/op

WorkloadWarmup   1: 1 op, 386264366.00 ns, 386.2644 ms/op
WorkloadWarmup   2: 1 op, 367333222.00 ns, 367.3332 ms/op
WorkloadWarmup   3: 1 op, 373786698.00 ns, 373.7867 ms/op
WorkloadWarmup   4: 1 op, 364867605.00 ns, 364.8676 ms/op
WorkloadWarmup   5: 1 op, 359633369.00 ns, 359.6334 ms/op
WorkloadWarmup   6: 1 op, 362942536.00 ns, 362.9425 ms/op
WorkloadWarmup   7: 1 op, 348962935.00 ns, 348.9629 ms/op
