// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/cds100/Projects/CodeMazeSourceCode/GRPCvsREST/bin/Release/netcoreapp3.1/cfde9253-421c-4de7-8825-58f7bf658707
// command took 3.55s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/cds100/Projects/CodeMazeSourceCode/GRPCvsREST/bin/Release/netcoreapp3.1/cfde9253-421c-4de7-8825-58f7bf658707
// command took 6.22s and exited with 0
// ***** Done, took 00:00:10 (10.09 sec)   *****
// Found 4 benchmarks:
//   BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=100]
//   BenchmarkHarness.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=100]
//   BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=200]
//   BenchmarkHarness.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=200]

// **************************
// Benchmark: BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "cfde9253-421c-4de7-8825-58f7bf658707.dll" --benchmarkName "RESTvsGRPC.BenchmarkHarness.RestGetSmallPayloadAsync(IterationCount: 100)" --job "Default" --benchmarkId 0 in /Users/cds100/Projects/CodeMazeSourceCode/GRPCvsREST/bin/Release/netcoreapp3.1/cfde9253-421c-4de7-8825-58f7bf658707/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadActual  49: 1 op, 237497421.00 ns, 237.4974 ms/op
WorkloadActual  50: 1 op, 264207395.00 ns, 264.2074 ms/op
WorkloadActual  51: 1 op, 252530957.00 ns, 252.5310 ms/op
WorkloadActual  52: 1 op, 251068580.00 ns, 251.0686 ms/op
WorkloadActual  53: 1 op, 281130393.00 ns, 281.1304 ms/op
WorkloadActual  54: 1 op, 236147426.00 ns, 236.1474 ms/op
WorkloadActual  55: 1 op, 235101884.00 ns, 235.1019 ms/op
WorkloadActual  56: 1 op, 231864115.00 ns, 231.8641 ms/op
WorkloadActual  57: 1 op, 235370436.00 ns, 235.3704 ms/op
WorkloadActual  58: 1 op, 250070448.00 ns, 250.0704 ms/op
WorkloadActual  59: 1 op, 232699157.00 ns, 232.6992 ms/op
WorkloadActual  60: 1 op, 234434365.00 ns, 234.4344 ms/op
WorkloadActual  61: 1 op, 234931715.00 ns, 234.9317 ms/op
WorkloadActual  62: 1 op, 233244534.00 ns, 233.2445 ms/op
WorkloadActual  63: 1 op, 237792471.00 ns, 237.7925 ms/op
WorkloadActual  64: 1 op, 237722659.00 ns, 237.7227 ms/op
WorkloadActual  65: 1 op, 232117259.00 ns, 232.1173 ms/op
WorkloadActual  66: 1 op, 232862406.00 ns, 232.8624 ms/op
WorkloadActual  67: 1 op, 245615208.00 ns, 245.6152 ms/op
WorkloadActual  68: 1 op, 248393577.00 ns, 248.3936 ms/op
WorkloadActual  69: 1 op, 299036773.00 ns, 299.0368 ms/op
WorkloadActual  70: 1 op, 241520397.00 ns, 241.5204 ms/op
WorkloadActual  71: 1 op, 236845178.00 ns, 236.8452 ms/op
WorkloadActual  72: 1 op, 238305831.00 ns, 238.3058 ms/op
WorkloadActual  73: 1 op, 332753770.00 ns, 332.7538 ms/op
WorkloadActual  74: 1 op, 242473462.00 ns, 242.4735 ms/op
WorkloadActual  75: 1 op, 234566776.00 ns, 234.5668 ms/op
WorkloadActual  76: 1 op, 233091698.00 ns, 233.0917 ms/op
WorkloadActual  77: 1 op, 233113072.00 ns, 233.1131 ms/op
WorkloadActual  78: 1 op, 232489214.00 ns, 232.4892 ms/op
WorkloadActual  79: 1 op, 233382524.00 ns, 233.3825 ms/op
WorkloadActual  80: 1 op, 236363591.00 ns, 236.3636 ms/op
WorkloadActual  81: 1 op, 235195680.00 ns, 235.1957 ms/op
WorkloadActual  82: 1 op, 236210683.00 ns, 236.2107 ms/op
WorkloadActual  83: 1 op, 242690949.00 ns, 242.6909 ms/op
WorkloadActual  84: 1 op, 243817627.00 ns, 243.8176 ms/op
WorkloadActual  85: 1 op, 308582530.00 ns, 308.5825 ms/op
WorkloadActual  86: 1 op, 238386247.00 ns, 238.3862 ms/op
WorkloadActual  87: 1 op, 312863483.00 ns, 312.8635 ms/op
WorkloadActual  88: 1 op, 234554527.00 ns, 234.5545 ms/op
WorkloadActual  89: 1 op, 259484896.00 ns, 259.4849 ms/op
WorkloadActual  90: 1 op, 251431821.00 ns, 251.4318 ms/op
WorkloadActual  91: 1 op, 236488518.00 ns, 236.4885 ms/op
WorkloadActual  92: 1 op, 236242323.00 ns, 236.2423 ms/op
WorkloadActual  93: 1 op, 255467622.00 ns, 255.4676 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 237256855.00 ns, 237.2569 ms/op
WorkloadResult   2: 1 op, 236019070.00 ns, 236.0191 ms/op
WorkloadResult   3: 1 op, 235767116.00 ns, 235.7671 ms/op
WorkloadResult   4: 1 op, 240121862.00 ns, 240.1219 ms/op
WorkloadResult   5: 1 op, 260811125.00 ns, 260.8111 ms/op
WorkloadResult   6: 1 op, 237315674.00 ns, 237.3157 ms/op
WorkloadResult   7: 1 op, 254481470.00 ns, 254.4815 ms/op
WorkloadResult   8: 1 op, 290111465.00 ns, 290.1115 ms/op
WorkloadResult   9: 1 op, 262454284.00 ns, 262.4543 ms/op
WorkloadResult  10: 1 op, 269237054.00 ns, 269.2371 ms/op
WorkloadResult  11: 1 op, 233668720.00 ns, 233.6687 ms/op
WorkloadResult  12: 1 op, 267107508.00 ns, 267.1075 ms/op
WorkloadResult  13: 1 op, 256517244.00 ns, 256.5172 ms/op
WorkloadResult  14: 1 op, 252937801.00 ns, 252.9378 ms/op
WorkloadResult  15: 1 op, 265779552.00 ns, 265.7796 ms/op
WorkloadResult  16: 1 op, 260787163.00 ns, 260.7872 ms/op
WorkloadResult  17: 1 op, 273584830.00 ns, 273.5848 ms/op
WorkloadResult  18: 1 op, 238035995.00 ns, 238.0360 ms/op
WorkloadResult  19: 1 op, 235179078.00 ns, 235.1791 ms/op
WorkloadResult  20: 1 op, 233745325.00 ns, 233.7453 ms/op
WorkloadResult  21: 1 op, 265775482.00 ns, 265.7755 ms/op
WorkloadResult  22: 1 op, 236307079.00 ns, 236.3071 ms/op
WorkloadResult  23: 1 op, 280929985.00 ns, 280.9300 ms/op
WorkloadResult  24: 1 op, 263988674.00 ns, 263.9887 ms/op
WorkloadResult  25: 1 op, 235523489.00 ns, 235.5235 ms/op
WorkloadResult  26: 1 op, 244586916.00 ns, 244.5869 ms/op
WorkloadResult  27: 1 op, 237856840.00 ns, 237.8568 ms/op
WorkloadResult  28: 1 op, 236876745.00 ns, 236.8767 ms/op
WorkloadResult  29: 1 op, 239641717.00 ns, 239.6417 ms/op
WorkloadResult  30: 1 op, 248218346.00 ns, 248.2183 ms/op
WorkloadResult  31: 1 op, 258772077.00 ns, 258.7721 ms/op
WorkloadResult  32: 1 op, 245212262.00 ns, 245.2123 ms/op
WorkloadResult  33: 1 op, 238202841.00 ns, 238.2028 ms/op
WorkloadResult  34: 1 op, 236975600.00 ns, 236.9756 ms/op
WorkloadResult  35: 1 op, 235489825.00 ns, 235.4898 ms/op
WorkloadResult  36: 1 op, 243128310.00 ns, 243.1283 ms/op
WorkloadResult  37: 1 op, 233797185.00 ns, 233.7972 ms/op
WorkloadResult  38: 1 op, 236811402.00 ns, 236.8114 ms/op
WorkloadResult  39: 1 op, 234424592.00 ns, 234.4246 ms/op
WorkloadResult  40: 1 op, 235819810.00 ns, 235.8198 ms/op
WorkloadResult  41: 1 op, 233426066.00 ns, 233.4261 ms/op
WorkloadResult  42: 1 op, 259260066.00 ns, 259.2601 ms/op
WorkloadResult  43: 1 op, 246204448.00 ns, 246.2044 ms/op
WorkloadResult  44: 1 op, 244195414.00 ns, 244.1954 ms/op
WorkloadResult  45: 1 op, 237497421.00 ns, 237.4974 ms/op
WorkloadResult  46: 1 op, 264207395.00 ns, 264.2074 ms/op
WorkloadResult  47: 1 op, 252530957.00 ns, 252.5310 ms/op
WorkloadResult  48: 1 op, 251068580.00 ns, 251.0686 ms/op
WorkloadResult  49: 1 op, 281130393.00 ns, 281.1304 ms/op
WorkloadResult  50: 1 op, 236147426.00 ns, 236.1474 ms/op
WorkloadResult  51: 1 op, 235101884.00 ns, 235.1019 ms/op
WorkloadResult  52: 1 op, 231864115.00 ns, 231.8641 ms/op
WorkloadResult  53: 1 op, 235370436.00 ns, 235.3704 ms/op
WorkloadResult  54: 1 op, 250070448.00 ns, 250.0704 ms/op
WorkloadResult  55: 1 op, 232699157.00 ns, 232.6992 ms/op
WorkloadResult  56: 1 op, 234434365.00 ns, 234.4344 ms/op
WorkloadResult  57: 1 op, 234931715.00 ns, 234.9317 ms/op
WorkloadResult  58: 1 op, 233244534.00 ns, 233.2445 ms/op
WorkloadResult  59: 1 op, 237792471.00 ns, 237.7925 ms/op
WorkloadResult  60: 1 op, 237722659.00 ns, 237.7227 ms/op
WorkloadResult  61: 1 op, 232117259.00 ns, 232.1173 ms/op
WorkloadResult  62: 1 op, 232862406.00 ns, 232.8624 ms/op
WorkloadResult  63: 1 op, 245615208.00 ns, 245.6152 ms/op
WorkloadResult  64: 1 op, 248393577.00 ns, 248.3936 ms/op
WorkloadResult  65: 1 op, 241520397.00 ns, 241.5204 ms/op
WorkloadResult  66: 1 op, 236845178.00 ns, 236.8452 ms/op
WorkloadResult  67: 1 op, 238305831.00 ns, 238.3058 ms/op
WorkloadResult  68: 1 op, 242473462.00 ns, 242.4735 ms/op
WorkloadResult  69: 1 op, 234566776.00 ns, 234.5668 ms/op
WorkloadResult  70: 1 op, 233091698.00 ns, 233.0917 ms/op
WorkloadResult  71: 1 op, 233113072.00 ns, 233.1131 ms/op
WorkloadResult  72: 1 op, 232489214.00 ns, 232.4892 ms/op
WorkloadResult  73: 1 op, 233382524.00 ns, 233.3825 ms/op
WorkloadResult  74: 1 op, 236363591.00 ns, 236.3636 ms/op
WorkloadResult  75: 1 op, 235195680.00 ns, 235.1957 ms/op
WorkloadResult  76: 1 op, 236210683.00 ns, 236.2107 ms/op
WorkloadResult  77: 1 op, 242690949.00 ns, 242.6909 ms/op
WorkloadResult  78: 1 op, 243817627.00 ns, 243.8176 ms/op
WorkloadResult  79: 1 op, 238386247.00 ns, 238.3862 ms/op
WorkloadResult  80: 1 op, 234554527.00 ns, 234.5545 ms/op
WorkloadResult  81: 1 op, 259484896.00 ns, 259.4849 ms/op
WorkloadResult  82: 1 op, 251431821.00 ns, 251.4318 ms/op
WorkloadResult  83: 1 op, 236488518.00 ns, 236.4885 ms/op
WorkloadResult  84: 1 op, 236242323.00 ns, 236.2423 ms/op
WorkloadResult  85: 1 op, 255467622.00 ns, 255.4676 ms/op

// AfterAll
// Benchmark Process 78446 has exited with code 0

Mean = 244.580 ms, StdErr = 1.431 ms (0.59%), N = 85, StdDev = 13.195 ms
Min = 231.864 ms, Q1 = 235.370 ms, Median = 237.857 ms, Q3 = 251.432 ms, Max = 290.111 ms
IQR = 16.061 ms, LowerFence = 211.278 ms, UpperFence = 275.524 ms
ConfidenceInterval = [239.699 ms; 249.460 ms] (CI 99.9%), Margin = 4.881 ms (2.00% of Mean)
Skewness = 1.36, Kurtosis = 4.15, MValue = 2.17

// **************************
// Benchmark: BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=200]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "cfde9253-421c-4de7-8825-58f7bf658707.dll" --benchmarkName "RESTvsGRPC.BenchmarkHarness.RestGetSmallPayloadAsync(IterationCount: 200)" --job "Default" --benchmarkId 2 in /Users/cds100/Projects/CodeMazeSourceCode/GRPCvsREST/bin/Release/netcoreapp3.1/cfde9253-421c-4de7-8825-58f7bf658707/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 499358.00 ns, 499.3580 us/op
WorkloadJitting  1: 1 op, 1369953025.00 ns, 1.3700 s/op

WorkloadWarmup   1: 1 op, 791073710.00 ns, 791.0737 ms/op
WorkloadWarmup   2: 1 op, 863565866.00 ns, 863.5659 ms/op
WorkloadWarmup   3: 1 op, 851645748.00 ns, 851.6457 ms/op
WorkloadWarmup   4: 1 op, 841682231.00 ns, 841.6822 ms/op
WorkloadWarmup   5: 1 op, 740923125.00 ns, 740.9231 ms/op
WorkloadWarmup   6: 1 op, 734109309.00 ns, 734.1093 ms/op
WorkloadWarmup   7: 1 op, 752475871.00 ns, 752.4759 ms/op
WorkloadWarmup   8: 1 op, 827296230.00 ns, 827.2962 ms/op
WorkloadWarmup   9: 1 op, 879395802.00 ns, 879.3958 ms/op
WorkloadWarmup  10: 1 op, 845051289.00 ns, 845.0513 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 775751472.00 ns, 775.7515 ms/op
WorkloadActual   2: 1 op, 813477015.00 ns, 813.4770 ms/op
WorkloadActual   3: 1 op, 823096675.00 ns, 823.0967 ms/op
WorkloadActual   4: 1 op, 805759126.00 ns, 805.7591 ms/op
WorkloadActual   5: 1 op, 793574334.00 ns, 793.5743 ms/op
WorkloadActual   6: 1 op, 758452216.00 ns, 758.4522 ms/op
WorkloadActual   7: 1 op, 792511930.00 ns, 792.5119 ms/op
WorkloadActual   8: 1 op, 825064356.00 ns, 825.0644 ms/op
WorkloadActual   9: 1 op, 810038193.00 ns, 810.0382 ms/op
WorkloadActual  10: 1 op, 883415167.00 ns, 883.4152 ms/op
WorkloadActual  11: 1 op, 789673550.00 ns, 789.6735 ms/op
WorkloadActual  12: 1 op, 870391284.00 ns, 870.3913 ms/op
WorkloadActual  13: 1 op, 749467313.00 ns, 749.4673 ms/op
WorkloadActual  14: 1 op, 740300847.00 ns, 740.3008 ms/op
WorkloadActual  15: 1 op, 747821678.00 ns, 747.8217 ms/op
WorkloadActual  16: 1 op, 739530984.00 ns, 739.5310 ms/op
WorkloadActual  17: 1 op, 776665417.00 ns, 776.6654 ms/op
WorkloadActual  18: 1 op, 727022082.00 ns, 727.0221 ms/op
WorkloadActual  19: 1 op, 779966335.00 ns, 779.9663 ms/op
WorkloadActual  20: 1 op, 733489281.00 ns, 733.4893 ms/op
WorkloadActual  21: 1 op, 840912470.00 ns, 840.9125 ms/op
WorkloadActual  22: 1 op, 854217060.00 ns, 854.2171 ms/op
WorkloadActual  23: 1 op, 798889370.00 ns, 798.8894 ms/op
WorkloadActual  24: 1 op, 933088877.00 ns, 933.0889 ms/op
WorkloadActual  25: 1 op, 744201102.00 ns, 744.2011 ms/op
WorkloadActual  26: 1 op, 762377831.00 ns, 762.3778 ms/op
WorkloadActual  27: 1 op, 766043704.00 ns, 766.0437 ms/op
WorkloadActual  28: 1 op, 741921684.00 ns, 741.9217 ms/op
WorkloadActual  29: 1 op, 743448509.00 ns, 743.4485 ms/op
WorkloadActual  30: 1 op, 952616271.00 ns, 952.6163 ms/op
WorkloadActual  31: 1 op, 869477008.00 ns, 869.4770 ms/op
WorkloadActual  32: 1 op, 834412850.00 ns, 834.4129 ms/op
WorkloadActual  33: 1 op, 830758854.00 ns, 830.7589 ms/op
WorkloadActual  34: 1 op, 806179615.00 ns, 806.1796 ms/op
WorkloadActual  35: 1 op, 819955685.00 ns, 819.9557 ms/op
WorkloadActual  36: 1 op, 821026533.00 ns, 821.0265 ms/op
WorkloadActual  37: 1 op, 824794770.00 ns, 824.7948 ms/op
WorkloadActual  38: 1 op, 932866397.00 ns, 932.8664 ms/op
WorkloadActual  39: 1 op, 862529688.00 ns, 862.5297 ms/op
WorkloadActual  40: 1 op, 816732938.00 ns, 816.7329 ms/op
WorkloadActual  41: 1 op, 820388776.00 ns, 820.3888 ms/op
WorkloadActual  42: 1 op, 775690651.00 ns, 775.6907 ms/op
